"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
9.068188460E-1;-9.528923035E-1;-6.200982332E-1;1.021127033E1
9.117628460E-1;-9.409212470E-1;-6.536170840E-1;1.021366405E1
9.167078460E-1;-9.241618514E-1;-6.679822803E-1;1.022802925E1
9.216528460E-1;-9.145850539E-1;-6.991068721E-1;1.020648193E1
9.265970380E-1;-9.002198577E-1;-7.254431248E-1;1.017775154E1
9.315420380E-1;-8.714894056E-1;-7.469909191E-1;1.011550236E1
9.364870380E-1;-8.667010069E-1;-7.445967197E-1;1.005804157E1
9.414310380E-1;-8.690952063E-1;-7.326257229E-1;9.974244118E0
9.463760380E-1;-8.355764151E-1;-6.847416759E-1;9.943120003E0
9.513210380E-1;-8.164227605E-1;-6.153098345E-1;9.916783333E0
9.562660380E-1;-7.948749661E-1;-5.291185975E-1;9.909601212E0
9.612110380E-1;-7.757213712E-1;-4.453215301E-1;9.892841339E0
9.661548460E-1;-7.206547260E-1;-3.854664862E-1;9.895236015E0
9.710988460E-1;-6.679822803E-1;-3.423708379E-1;9.907206535E0
9.760438460E-1;-6.272808313E-1;-3.040636182E-1;9.883264542E0
9.809888460E-1;-6.081272364E-1;-2.825157940E-1;9.883264542E0
9.859338460E-1;-5.698199868E-1;-2.633621991E-1;9.892841339E0
9.908788460E-1;-5.410895944E-1;-2.849099934E-1;9.923966408E0
9.958238460E-1;-5.506663918E-1;-2.896983922E-1;9.943120003E0
1.000767846E0;-5.506663918E-1;-3.160346150E-1;9.995792389E0
1.005712846E0;-5.339069963E-1;-3.519476354E-1;1.003649330E1
1.010657846E0;-5.674257874E-1;-3.782838583E-1;1.005804157E1
1.015575846E0;-5.506663918E-1;-4.333505034E-1;1.007719517E1
1.020520846E0;-5.554547906E-1;-4.668693244E-1;1.007480049E1
1.025465846E0;-5.554547906E-1;-4.979939461E-1;1.003888798E1
1.030409846E0;-5.626373887E-1;-5.363011956E-1;9.998186111E0
1.035345884E0;-5.482721925E-1;-5.386953950E-1;9.976638794E0
1.040290884E0;-5.291185975E-1;-5.267243981E-1;9.911994934E0
1.045235884E0;-5.219359994E-1;-4.955997467E-1;9.895236015E0
1.050180884E0;-5.243301988E-1;-4.453215301E-1;9.821015358E0
1.055125884E0;-5.099649429E-1;-4.046200812E-1;9.792284966E0
1.060070884E0;-5.267243981E-1;-3.591302633E-1;9.775525093E0
1.065014884E0;-5.219359994E-1;-3.040636182E-1;9.777919769E0
1.069959884E0;-4.955997467E-1;-2.489969730E-1;9.768342972E0
1.074904884E0;-4.836287498E-1;-2.059013397E-1;9.770736694E0
1.079849884E0;-5.075707436E-1;-2.154781520E-1;9.777919769E0
1.084794884E0;-5.291185975E-1;-2.322375625E-1;9.775525093E0
1.089725269E0;-5.698199868E-1;-2.753331959E-1;9.751583099E0
1.094656499E0;-5.937620401E-1;-3.208230138E-1;9.761159897E0
1.099601499E0;-6.344634295E-1;-3.423708379E-1;9.787496567E0
1.104546499E0;-6.584054828E-1;-3.687070608E-1;9.809044838E0
1.109489692E0;-6.943184733E-1;-4.070142806E-1;9.840168953E0
1.114434692E0;-6.943184733E-1;-3.974374831E-1;9.895236015E0
1.119379692E0;-7.062895298E-1;-4.189853072E-1;9.921571732E0
1.124323692E0;-6.871358752E-1;-4.285621047E-1;9.962273598E0
1.129268692E0;-6.727706790E-1;-3.998316824E-1;1.003170490E1
1.134213692E0;-6.655880809E-1;-4.022258818E-1;1.006043530E1
1.139158692E0;-6.560112834E-1;-3.830722570E-1;1.013704967E1
1.144103692E0;-6.727706790E-1;-3.998316824E-1;1.020648193E1
1.149044269E0;-6.655880809E-1;-3.950432837E-1;1.024957752E1
1.153988269E0;-6.847416759E-1;-4.046200812E-1;1.027351952E1
1.158933269E0;-7.015010715E-1;-3.926490843E-1;1.029985619E1
1.163878269E0;-6.919242740E-1;-4.094084799E-1;1.028788471E1
1.168823269E0;-6.991068721E-1;-4.309563041E-1;1.026154804E1
1.173768269E0;-6.631938815E-1;-4.525041282E-1;1.024478912E1
1.178704922E0;-6.584054828E-1;-4.548983276E-1;1.019690514E1
1.183648922E0;-6.655880809E-1;-4.596867263E-1;1.012268448E1
1.188593922E0;-6.584054828E-1;-4.788403511E-1;1.004607010E1
1.193538922E0;-6.751648784E-1;-4.884171486E-1;9.950302124E0
1.198476076E0;-6.847416759E-1;-4.860229492E-1;9.876082420E0
1.203421076E0;-6.631938815E-1;-4.429273009E-1;9.749189377E0
1.208366076E0;-6.560112834E-1;-4.237737060E-1;9.701305389E0
1.213313076E0;-6.584054828E-1;-3.734954596E-1;9.648633003E0
1.218258076E0;-6.200982332E-1;-3.375824392E-1;9.641449928E0
1.223203076E0;-5.698199868E-1;-2.896983922E-1;9.627084732E0
1.228147076E0;-5.267243981E-1;-2.825157940E-1;9.629479408E0
1.233092076E0;-4.860229492E-1;-2.298433632E-1;9.665391922E0
1.238037076E0;-4.261679053E-1;-2.178723514E-1;9.701305389E0
1.242982076E0;-4.189853072E-1;-2.059013397E-1;9.744400978E0
1.247927076E0;-4.046200812E-1;-1.939303428E-1;9.777919769E0
1.252872076E0;-4.333505034E-1;-1.939303428E-1;9.821015358E0
1.257803576E0;-4.644751251E-1;-1.963245422E-1;9.866505623E0
1.262748576E0;-4.979939461E-1;-2.202665508E-1;9.902418137E0
1.267693576E0;-5.506663918E-1;-2.442085743E-1;9.931148529E0
1.272638576E0;-6.105214357E-1;-2.825157940E-1;9.943120003E0
1.277583576E0;-6.368576288E-1;-2.992752194E-1;9.981427193E0
1.282528576E0;-6.799532771E-1;-3.232172430E-1;1.001494598E1
1.287472576E0;-6.919242740E-1;-3.471592367E-1;1.003888798E1
1.292417576E0;-7.110779285E-1;-3.926490843E-1;1.008916569E1
1.297362576E0;-7.015010715E-1;-4.094084799E-1;1.013226128E1
1.302307576E0;-6.847416759E-1;-4.022258818E-1;1.014902115E1
1.307252576E0;-6.751648784E-1;-4.070142806E-1;1.019211674E1
1.312197576E0;-6.655880809E-1;-3.926490843E-1;1.022084713E1
1.317141576E0;-6.392518282E-1;-3.687070608E-1;1.024239445E1
1.322086576E0;-5.961562395E-1;-3.519476354E-1;1.023521233E1
1.327031576E0;-5.770025849E-1;-3.184288144E-1;1.022802925E1
1.331976269E0;-5.195417404E-1;-3.112462163E-1;1.021366405E1
1.336921269E0;-4.908113480E-1;-2.466027737E-1;1.018253994E1
1.341866269E0;-4.548983276E-1;-1.963245422E-1;1.012747288E1
1.346798845E0;-4.429273009E-1;-1.675941199E-1;1.007001209E1
1.351743845E0;-4.094084799E-1;-1.604115069E-1;9.957485199E0
1.356566845E0;-3.974374831E-1;-1.388636976E-1;9.868899345E0
1.361633845E0;-3.926490843E-1;-1.340752989E-1;9.797073364E0
1.366578845E0;-4.333505034E-1;-1.053448766E-1;9.703699112E0
1.371523845E0;-4.261679053E-1;-8.619125932E-2;9.643844604E0
1.376468845E0;-4.764461517E-1;-1.077390760E-1;9.598354340E0
1.381412845E0;-5.147533417E-1;-8.140286058E-2;9.603142738E0
1.386357845E0;-5.291185975E-1;-7.422025502E-2;9.593565941E0
1.391302845E0;-5.147533417E-1;-9.816227108E-2;9.619902611E0
1.396247845E0;-5.578489900E-1;-7.900865376E-2;9.706093788E0
1.401192845E0;-5.746083856E-1;-7.900865376E-2;9.818621635E0
1.406137845E0;-5.817909837E-1;-8.858546615E-2;9.945513725E0
1.411081845E0;-5.626373887E-1;-7.182604820E-2;1.005085850E1
1.416026845E0;-5.722141862E-1;-9.337386489E-2;1.016099167E1
1.420971845E0;-5.865794420E-1;-1.364694983E-1;1.026154804E1
